user,time,tweet,latitude,longitude
scott50955448,Thu Mar 05 03:42:12 +0000 2015,"RT @_RobConrad: OBAMA QUALIFIES to be ARRESTED by Sergeant of Arms for TREASON. (aiding, abetting USA enemies) http://t.co/XON5GVjK4T http:",,
BrooklynZaire,Thu Mar 05 03:42:12 +0000 2015,RT @desusnice: Yet again Obama falls silent re: black on white crime https://t.co/qh7L4j79ay,,
wheezybeenjamin,Thu Mar 05 03:42:11 +0000 2015,"RT @Forums4Justice: ""Under Obama's Executive Action, illegal immigrants can receive more than $35,000 in refundable tax credits"" http://t.",,
j_marcello,Thu Mar 05 03:42:11 +0000 2015,Message of the Leader of the Islamic Republic of Iran#Letter4U#Letter4Youth#Obama#US#News#Peace#Islam#Muslim http://t.co/VxRIGJ0riG,,
justbrad,Thu Mar 05 03:42:11 +0000 2015,At this point President Obama has to personally invite Russell Westbrook to the White House for all the work he's been putting in.,40.68529569,-73.95324125
artcinco,Thu Mar 05 03:42:11 +0000 2015,RT @GregAbbott_TX: BREAKING: Obama Admin. misled Fed. Court &amp; issued thousands of amnesty documents illegally. Time for Contempt. #tcot #tx,,
MaddyClark24,Thu Mar 05 03:42:11 +0000 2015,RT @FunnyVines: Thanks Obama.. http://t.co/MqRHFPQCxh,,
tiffanynhuff,Thu Mar 05 03:42:09 +0000 2015,@marissathebrat @god @obama @MittRomney @GeorgeBush @Lgbtq @dickcheney @JoeBiden im pregnant now,,
budman0888,Thu Mar 05 03:42:07 +0000 2015,RT @WestJournalism: Breaking: 8 Bold Dems Just Joined The Republicans In An Attempt To Stop Obama http://t.co/G6k6qqPXgT #KeystoneXL http:/,,
lelandhaus,Thu Mar 05 03:42:07 +0000 2015,Obama Administration: We Will Defend Muslim Jihadists If They Are Attacked http://t.co/GKh65Ijc4J via @BradleeDean1,,
TEDDYZEE,Thu Mar 05 03:42:06 +0000 2015,"Everyone wants to blame Obama for everything. I have to think that a huge percentage of the ""underemployed"" come... http://t.co/ZOlv2ThMjJ",,
hokijamoki,Thu Mar 05 03:42:05 +0000 2015,RT @AlPenwasser: @ReviveOurUSA @hokijamoki Recovery is when Obama loses his.,,
altruismWON,Thu Mar 05 03:42:05 +0000 2015,"RT @WhiteHouse: ""Every girl is precious. Every girl deserves an education."" President Obama: http://t.co/cEWIR52NSE #LetGirlsLearn http://",,
immigration_dp,Thu Mar 05 03:42:04 +0000 2015,Obama\'s Executive Amnesty Unites Conservative Gathering #immigration http://t.co/MkooYZsDIb,,
AmPolGossip,Thu Mar 05 03:42:04 +0000 2015,Mary Matalin: Republicans Should Use Giuliani's 'Obama Doesn't   http://t.co/48fH5JODLz  #america #giuliani #obama,,
marleewho,Thu Mar 05 03:42:03 +0000 2015,RT @cnnbrk: Senate fails to override President Obama's veto of Keystone oil pipeline legislation. http://t.co/0PCPqxupz5.,,
dwitehawk,Thu Mar 05 03:42:03 +0000 2015,RT @Conservative_VW: BIG Question:What did the Obama Administration Know &amp; WHEN DID THEY KNOW IT?#HillaryEmail#WakeUpAmeirca http:,,
WhatsBst4S,Thu Mar 05 03:42:02 +0000 2015,#OccupyMyFamily State of NC like GA refuses to release the Court Transcripts. *Pres Obama MUST enforce the Constitut http://t.co/JE6mh5IZLb,,
carolerae,Thu Mar 05 03:42:02 +0000 2015,RT @nytpolitics: Democrats in Congress Give Obama Breathing Room on Nuclear Talks With Iran http://t.co/d8SqZXiJaO,,
Lowridermc,Thu Mar 05 03:42:01 +0000 2015,RT @ResistTyranny: There are 93 million people out of the workforce. 93 million.Let that sink in for a minute.#unemployment #jobs #Obama,,
uamuzme,Thu Mar 05 03:42:01 +0000 2015,RT @TrueTheVote: RT @jumpvote: Democrats Plan To Win Elections With Illegal Alien Votes http://t.co/bqyXax0klh,,
